"id","Type","Date","Distance","Moving Time","Name","Avg HR","Norm Power","Intensity","Load","FTP","Weight","W'","Avg Power","Fatigue","Fatigue Load","Efficiency","eFTP","Fitness","Fitness Load","Form","HR Z2 Mins","HRRc","Max HR","Ride eFTP","LTHR"
"15325979062","VirtualRide","2025-08-03T12:15:10",40435.8984375,4918,"Zwift - Sugar Cookie in Watopia",139,142,71,69,200,64,,136,21.763301849365234,69,1.0215827226638794,199,29.62757110595703,69,8,48,,156,148,167
"15272811372","VirtualRide","2025-07-29T18:13:27",18327.80078125,2058,"Zwift - INEOS Grenadiers Virtual Training Camp | The Cafe Ride on Tempus Fugit in Watopia",138,144,72,30,200,62,,135,20.221651077270508,30,1.04347825050354,200,30.78109359741211,30,11,21,,159,144,167
"15261400330","VirtualRide","2025-07-28T17:33:59",15758.2998046875,1905,"Zwift - Flash Burn on Sand And Sequoias in Watopia",138,163,81.5,35,200,62,,154,18.72003936767578,35,1.1811593770980835,200,30.79991340637207,35,12,17,,159,161,167
"15207731185","VirtualRide","2025-07-23T17:36:40",20208.30078125,2712,"Zwift - Recovery on The Classic in Watopia",135,137,68.5,35,200,62,,133,28.722307205200195,35,1.014814853668213,201,33.76614761352539,35,5,24,,150,140,167
"15185712298","VirtualRide","2025-07-21T18:42:22",30114,3664,"Zwift - Recovery on Flat Route in Watopia",135,133,66.5,45,200,62,,129,32.020973205566406,45,0.9851852059364319,201,34.54930114746094,45,3,45,,150,135,167
"15160822724","Ride","2025-07-19T06:16:26",93054.1015625,12623,"0 to 💯",147,160,74.766357421875,196,214,62,,131,34.63907241821289,196,1.088435411453247,201,35.12389373779297,196,0,49,25,174,144,167
"15109003055","Ride","2025-07-14T17:48:48",19962.900390625,2795,"Indoor Cycling",135,146,73,41,200,62,,137,15.688002586364746,41,1.0814814567565918,202,34.1230583190918,41,18,13,,158,152,167
"15076624360","Ride","2025-07-11T15:46:13",26913.900390625,3718,"Afternoon Ride",137,137,68.5,48,200,62,,133,15.703688621520996,48,1,202,35.61349105834961,48,20,36,,157,147,167
"15066703827","Ride","2025-07-10T17:46:32",20310.80078125,2706,"Base",135,146,73,40,200,62,,142,10.744105339050293,40,1.0814814567565918,203,35.31503677368164,40,24,26,,147,151,167
"14937397183","Ride","2025-06-28T06:56:36",68826.1015625,9737,"Morning Ride",139,154,71.96261596679688,140,214,62,,124,22.442134857177734,140,1.107913613319397,205,45.303768157958984,140,23,36,34,170,143,167
